floodable_forests,biomass,sur_cover,quarter_biomass,quarter,ecoreg_biomass,dist,nearest_mature,cec,clay,cfvo,nitro,ocd,ocs,phh2o,sand,soc,mean_soil,mean_vpd,mean_temp,mean_def,mean_srad,mean_pr,mean_pdsi,mean_aet,num_fires,ecoreg,biome,indig,protec,topography,age,sd
0,258.0,0.0,267.0,4.0,229.0,2327.0,181.77551020408154,13751.4443359375,23.55555534362793,2.844444513320923,14547.64453125,22.683332443237305,5.366666793823242,4.505555629730225,51.477779388427734,21757.5,3257.9714285714285,1.0533332824707031,25.9952392578125,272.0285714285714,1601.8682861328125,2056.39990234375,-1.765047550201416,1049.6857142857143,1,481,1,1,0,34,23,100
0,,0.10376282781362534,267.0,4.0,229.0,1925.0,174.34693877551007,11591.8330078125,24.816667556762695,2.4000000953674316,13661.3837890625,20.566667556762695,5.099999904632568,4.7833333015441895,52.96666717529297,20176.333984375,2960.8571428571427,1.049047589302063,26.025358200073242,275.9428571428571,1593.9844970703125,2026.5142822265625,-1.67038094997406,1040.4,14,481,1,1,0,41,1,
1,218.0,0.0,267.0,4.0,229.0,1709.0,169.77551020408148,11621.1669921875,25.78333282470703,1.5666667222976685,14000.68359375,22.350000381469727,5.0,4.650000095367432,52.31666564941406,20710.0,2243.2285714285713,1.0440714359283447,26.084880828857422,276.62857142857143,1580.3365478515625,2022.94287109375,-1.7423571348190308,1034.942857142857,0,481,1,0,0,42,22,81
1,106.0,0.0,267.0,4.0,229.0,1842.0,169.34693877551,12114.0,24.100000381469727,3.549999952316284,14585.466796875,22.683332443237305,5.099999904632568,4.599999904632568,52.79999923706055,21038.0,2243.2285714285713,1.0440714359283447,26.084880828857422,276.62857142857143,1580.3365478515625,2022.94287109375,-1.7423571348190308,1034.942857142857,1,481,1,0,0,42,19,38
0,157.0,0.13112884759902954,267.0,4.0,229.0,2054.0,169.59183673469374,12518.9443359375,23.327777862548828,2.4555556774139404,17511.0234375,22.2277774810791,4.900000095367432,4.80555534362793,52.75555419921875,21820.556640625,2164.942857142857,1.055047631263733,26.132381439208984,287.2,1603.847412109375,1967.4571533203125,-1.9958809614181519,1041.7714285714285,1,481,1,0,0,21,19,49
0,168.0,0.07183580100536346,267.0,4.0,229.0,2197.0,168.91836734693857,12127.3330078125,24.66666603088379,4.083333492279053,14004.7998046875,22.299999237060547,4.800000190734863,4.949999809265137,53.43333435058594,22242.833984375,2106.542857142857,1.0510238409042358,26.153451919555664,284.34285714285716,1586.3243408203125,1968.4285888671875,-1.3687857389450073,1034.8,2,481,1,0,0,34,16,52
0,202.0,0.298745721578598,267.0,4.0,229.0,3365.0,165.4489795918366,10093.3330078125,26.399999618530273,4.300000190734863,15864.2998046875,23.483333587646484,5.199999809265137,4.7833333015441895,51.96666717529297,19864.166015625,2069.4285714285716,1.0472856760025024,26.056072235107422,288.4,1581.9302978515625,1939.3428955078125,-0.861380934715271,1025.9714285714285,2,481,1,0,0,24,11,73
1,147.24778725350362,0.07867731153964996,267.0,4.0,229.0,2887.0,161.30612244897947,12100.6669921875,23.233333587646484,4.483333110809326,16077.3837890625,23.0,5.900000095367432,4.683333396911621,52.900001525878906,20275.0,1949.4571428571428,1.0311905145645142,26.011428833007812,309.65714285714284,1608.48486328125,1907.914306640625,-0.6017857193946838,1016.2285714285714,4,481,1,0,0,41,28,59
0,186.0,0.5119726061820984,267.0,4.0,229.0,1096.0,157.38775510204067,10112.8330078125,23.08333396911621,4.849999904632568,15812.400390625,22.366666793823242,5.5,4.5,56.233333587646484,20512.666015625,1855.7714285714285,1.0265952348709106,25.999284744262695,327.3142857142857,1604.77783203125,1886.771484375,-0.411642849445343,995.9142857142857,1,481,1,0,0,31,35,58
0,71.0,0.12428734451532364,267.0,4.0,229.0,2942.0,155.26530612244883,13040.888671875,23.266666412353516,5.599999904632568,17469.421875,22.866666793823242,5.699999809265137,4.7833333015441895,51.9555549621582,22380.66796875,1786.2857142857142,1.0412380695343018,26.185712814331055,342.37142857142857,1593.45751953125,1855.5999755859375,-0.2744285762310028,978.9714285714285,3,481,1,0,0,21,18,30
