floodable_forests,biomass,sur_cover,dist,nearest_mature,cec,clay,cfvo,nitro,ocd,ocs,phh2o,sand,soc,mean_soil,mean_vpd,mean_temp,mean_def,mean_srad,mean_pr,mean_pdsi,mean_aet,num_fires,ecoreg,biome,indig,protec,topography,age,sd
0,125.0,0.6020524501800537,1132.0,247.91836734693862,16753.0,23.822221755981445,0.45000001788139343,18316.484375,24.405555725097656,5.733333587646484,4.183333396911621,32.70000076293945,22912.0,2969.2285714285713,0.6739761829376221,26.498332977294922,103.37142857142857,1376.54052734375,2401.199951171875,-0.5864523649215698,985.8285714285714,0,497,1,1,1,41,34,52
0,81.0,0.9213227033615112,1052.0,249.04081632653043,16475.5,26.200000762939453,1.2833333015441895,19947.150390625,24.100000381469727,5.400000095367432,4.183333396911621,32.016666412353516,20839.0,2954.342857142857,0.668833315372467,26.41773796081543,108.91428571428571,1382.8331298828125,2353.742919921875,-0.6022142767906189,981.6285714285714,1,497,1,0,1,34,4,37
0,63.0,0.7023945450782776,1190.0,242.08163265306104,28679.0,26.799999237060547,1.5333333015441895,16589.099609375,23.850000381469727,4.699999809265137,4.183333396911621,35.91666793823242,19559.833984375,2841.6,0.6707857251167297,26.355833053588867,115.77142857142857,1389.70068359375,2291.28564453125,-0.6346428394317627,977.3142857142857,1,497,1,0,1,41,16,27
0,163.3986243115612,0.7137970328330994,1081.0,244.24489795918353,15597.5,28.96666717529297,1.1666666269302368,17228.533203125,23.58333396911621,5.199999809265137,4.050000190734863,30.433332443237305,19199.5,2853.1428571428573,0.6789523959159851,26.4084529876709,111.65714285714286,1388.7059326171875,2308.914306640625,-0.6086666584014893,982.9142857142857,0,497,1,0,1,41,7,58
0,54.0,0.1687571257352829,3488.0,238.89795918367332,17874.333984375,25.91666603088379,1.7666666507720947,20924.0,24.58333396911621,5.0,4.333333492279053,26.16666603088379,24919.833984375,2836.0857142857144,0.6888333559036255,26.444047927856445,112.2,1395.7115478515625,2304.71435546875,-0.623285710811615,987.5142857142857,1,497,1,0,1,34,11,18
0,,0.17787913978099823,2496.0,238.89795918367332,17577.666015625,27.705554962158203,1.2833333015441895,21261.35546875,24.80555534362793,4.800000190734863,4.349999904632568,27.899999618530273,24446.0,2836.0857142857144,0.6888333559036255,26.444047927856445,112.2,1395.7115478515625,2304.71435546875,-0.623285710811615,987.5142857142857,2,497,1,0,1,34,2,
0,128.0,0.8323830962181091,1189.0,238.06122448979576,17487.5,27.200000762939453,1.4666666984558105,17142.0,24.21666717529297,4.400000095367432,4.050000190734863,34.04999923706055,21296.5,2790.0,0.6701428294181824,26.292381286621094,121.22857142857143,1403.7884521484375,2245.257080078125,-0.5473571419715881,977.2285714285714,0,497,1,0,0,42,11,50
0,85.0,0.9623717069625854,1071.0,233.34693877551004,16694.72265625,28.711111068725586,1.5833333730697632,16345.2275390625,24.46666717529297,5.099999904632568,4.066666603088379,39.10555648803711,19064.77734375,2829.657142857143,0.671999990940094,26.22809600830078,121.54285714285714,1403.9952392578125,2232.742919921875,-0.5655238032341003,975.6857142857143,0,497,1,0,0,21,1,39
0,149.0,0.38084378838539124,1166.0,231.0408163265305,16554.833984375,36.08333206176758,2.5,27474.3828125,25.200000762939453,4.699999809265137,4.083333492279053,29.433332443237305,19033.5,2844.7428571428572,0.6734285950660706,26.225238800048828,120.74285714285715,1402.966552734375,2234.428466796875,-0.5685952305793762,975.9428571428572,1,497,1,0,0,42,7,59
0,263.0,0.5929304361343384,2232.0,230.3061224489795,15021.388671875,34.03333282470703,2.2166666984558105,24153.994140625,25.41666603088379,4.599999904632568,4.099999904632568,25.383333206176758,20961.111328125,2883.8285714285716,0.6949285864830017,26.350236892700195,116.4,1395.396240234375,2242.228515625,-0.5719524025917053,981.1142857142858,0,497,1,0,0,42,17,115
1,192.0,0.007981755770742893,1985.0,230.67346938775495,15673.3330078125,30.83333396911621,1.1833332777023315,18245.900390625,23.66666603088379,4.599999904632568,4.2833333015441895,26.016666412353516,20266.666015625,2908.8285714285716,0.7082380652427673,26.425952911376953,115.65714285714286,1400.203369140625,2238.60009765625,-0.5765476226806641,987.2,0,497,1,0,0,34,19,74
