"age","num_fires","biomass","protec","indig","nearest_mature_biomass","lulc_sum_30","distance","cwd","sur_cover","nitro","sand","phh2o","mean_pr","mean_srad","mean_temp","mean_vpd","mean_soil","mean_aet","amazon_quarter_regions","ecoreg_469","ecoreg_473","ecoreg_474","ecoreg_476","ecoreg_480","ecoreg_481","ecoreg_482","ecoreg_496","ecoreg_497","ecoreg_505","ecoreg_507","ecoreg_508","ecoreg_511","ecoreg_518","ecoreg_529","ecoreg_540","ecoreg_567","ecoreg_570","topography_21","topography_24","topography_31","topography_34","topography_41","topography_42","pred","pred_nolag"
10,3,46.5,0,0,232,0,7029,-415,0.066476464,5075,1234,146,1663.85714285714,2191.45714285714,25.87143,8.77142857142857,2885.28571428571,86.7714285714286,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,18.9435070694178,63.3841359962007
4,5,56.5,0,0,237,0,2902,-457,0.018830242,4344,1760,145,1831.17142857143,2186.11428571429,24.471428,9.22857142857143,3277.57142857143,81.7428571428571,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.54327007410287,43.3866886745722
3,4,88.5,0,0,231,0,3367,-332,0.42025676,5158,993,146,2211.85714285714,2315,25.9,6.94285714285714,3951.6,94.5142857142857,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6.79722991624296,60.7770966305613
15,5,166,0,0,242,0,2912,-166,0.1574893,5483,747,141,1946.45714285714,1872.6,24.385714,5.68571428571429,3173.77142857143,79.7714285714286,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,61.5914986900829,137.540217385655
6,3,36,0,0,242,0,9638,-231,0.42368045,4760,1009,119,2235.45714285714,1924.4,25.8,6.22857142857143,2913.74285714286,81.2857142857143,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16.3641447377465,79.4718460836785
16,0,41.5,0,0,233,0,6478,-328,0.22310984,3722,904,101,2047.14285714286,2103.02857142857,26.357143,7.37142857142857,3105.05714285714,86.5428571428571,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,32.7306611667555,76.0478394867786
6,2,63.5,0,0,239,0,6985,-83,0.43594864,4499,491,110,2320.28571428571,1916.14285714286,27.1,7.85714285714286,3255.97142857143,89.0571428571429,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.1393173214809,81.5428704685697
6,3,90,0,0,238,0,1259,-318,0.50242513,5080,1310,133,1863.11428571429,2034.82857142857,25.914286,6.11428571428571,2911.05714285714,83.4857142857143,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,17.0843452019428,81.6904691203983
3,13,33.5,0,0,236,0,6197,-394,0.18174037,5623,1237,150,1944.17142857143,2215.17142857143,26.028572,6.97142857142857,4538.45714285714,90.1142857142857,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4.63546526334989,35.585118000708
3,4,38.5,0,0,234,0,9529,-346,0.06305278,5196,1159,150,1947.37142857143,2127.94285714286,24.957144,7.85714285714286,2646.14285714286,82.9142857142857,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.70372264288301,38.1207785312208
17,4,113.5,0,0,238,0,978,-157,0.38944367,7149,1030,123,2295.2,1948,26.685715,8.31428571428571,2452.14285714286,88.9142857142857,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,46.9163084628556,102.574056045385
1,0,50.5,0,0,231,0,2329,-602,0.06733238,4872,1379,147,1685.34285714286,2264.25714285714,26.1,8.08571428571429,4272.8,88.0857142857143,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2.0250710863136,63.9230655736296
